GeographyKey;ContinentName;CityName;StateProvinceName;RegionCountryName
1;Asia;;;
2;Europe;;;
3;North America;;;
269;Asia;;;Armenia
270;Asia;;;Australia
271;Asia;;;Bhutan
272;Asia;;;China
273;Asia;;;India
274;Asia;;;Iran
275;Asia;;;Japan
276;Asia;;;Kyrgyzstan
277;Asia;;;Pakistan
278;Asia;;;Singapore
279;Asia;;;South Korea
280;Asia;;;Syria
281;Asia;;;Taiwan
282;Asia;;;Thailand
283;Asia;;;Turkmenistan
284;Europe;;;Denmark       
285;Europe;;;France
286;Europe;;;Germany 
287;Europe;;;Greece 
288;Europe;;;the Netherlands
289;Europe;;;Ireland 
290;Europe;;;Italy    
291;Europe;;;Malta
292;Europe;;;Poland 
293;Europe;;;Portugal
294;Europe;;;Romania 
295;Europe;;;Russia
296;Europe;;;Slovenia
297;Europe;;;Spain
298;Europe;;;Sweden 
299;Europe;;;Switzerland 
300;Europe;;;United Kingdom
301;North America;;;Canada
302;North America;;;United States
303;Asia;;Ahal Province;Turkmenistan
304;Asia;;Armenia;Armenia
305;Asia;;Beijing;China
306;Asia;;Chubu;Japan
307;Asia;;Chuy Province;Kyrgyzstan
308;Asia;;Damascus;Syria
309;Asia;;GuangDong;China
310;Asia;;Hokkaido;Japan
311;Asia;;Hong Kong;China
312;Asia;;Islamabad Capital Territory;Pakistan
313;Asia;;Kansai;Japan
314;Asia;;Kanto;Japan
315;Asia;;Krung Thep;Thailand
316;Asia;;Maharashtra;India
317;Asia;;Molonglo;Australia
318;Asia;;National Capital Territory of Delhi;India
319;Asia;;New South Wales;Australia
320;Asia;;Seoul-jikhalsi;South Korea
321;Asia;;Shanghai;China
322;Asia;;Singapore;Singapore
323;Asia;;Taiwan;Taiwan
324;Asia;;Tehran;Iran
325;Asia;;Thimphu District;Bhutan
326;Asia;;Tohoku;Japan
327;Asia;;West Bengal;India
328;Asia;;Xinjiang;China
329;Asia;;Yeongnam;South Korea
330;Europe;;Alpes-Maritimes;France
331;Europe;;Bas-Rhin;France
332;Europe;;Bavaria;Germany 
333;Europe;;Bayern;Germany 
334;Europe;;Berlin;Germany 
335;Europe;;Bern;Switzerland 
336;Europe;;Bucuresti;Romania 
337;Europe;;Central Greece and Evvoia;Greece 
338;Europe;;England ;United Kingdom
339;Europe;;Hesse;Germany 
340;Europe;;Ile-del-France;France
341;Europe;;Leinster;Ireland 
342;Europe;;Lisboa Region;Portugal
343;Europe;;Ljubljana;Slovenia
344;Europe;;Lombardia;Italy    
345;Europe;;Madrid;Spain
346;Europe;;Midi-Pyrenees;France
347;Europe;;Moskovskaya oblast;Russia
348;Europe;;Nizhny Novgorod Oblast;Russia
349;Europe;;Noord-Holland;the Netherlands
350;Europe;;Nordrhein-Westfalen;Germany 
351;Europe;;North Rhine-Westphalia;Germany 
352;Europe;;Northwestern;Russia
353;Europe;;Pays de la Loire;France
354;Europe;;Provence-Alpes-Cote d'Azur;France
355;Europe;;Province of Florence;Italy    
356;Europe;;Province of Turin;Italy    
357;Europe;;Rhineland-Palatinate;Germany 
358;Europe;;Rhone-Alpes ;France
359;Europe;;Roma;Italy    
360;Europe;;Scotland;United Kingdom
361;Europe;;Staden Kobenhavn;Denmark       
362;Europe;;Stockholms;Sweden 
363;Europe;;Valletta;Malta
364;Europe;;Venice;Italy    
365;Europe;;Warszawa;Poland 
366;North America;;Alaska;United States
