OSG;PSG;Obywatelstwo;Symbol;Wydanie wizy Schengen, Zasiêg terytorialny - Pañstwa Schengen;Wydanie wizy Schengen, Zasiêg terytorialny - Polska;Zast¹pienie naklejki wizowej, Rodzaj wizy - VD;Zast¹pienie naklejki wizowej, Rodzaj wizy - VC
BiOSG;PSG w Korczowej;Rosja;RU;1;0;0;0
BiOSG;PSG w Korczowej;Ukraina;UA;1;0;0;0
BiOSG;PSG w Lubaczowie;Ukraina;UA;0;0;0;1
BiOSG;PSG w Medyce;Ukraina;UA;4;0;0;0
BiOSG;PSG w Rzeszowie–Jasionce;Ukraina;UA;10;0;0;0
KaOSG;PSG w Krakowie-Balicach;Filipiny;PH;0;0;1;0
KaOSG;PSG w Krakowie-Balicach;Indie;IN;1;0;0;0
KaOSG;PSG w Krakowie-Balicach;Stany Zjednoczone;US;0;0;0;1
MOSG;PSG w Gdañsku;Bangladesz;BD;0;1;0;0
MOSG;PSG w Gdañsku;Birma (Myanmar);MM;1;0;0;0
MOSG;PSG w Gdañsku;Chiny;CN;1;0;0;0
MOSG;PSG w Gdañsku;Egipt;EG;0;1;0;0
MOSG;PSG w Gdañsku;Etiopia;ET;1;0;0;0
MOSG;PSG w Gdañsku;Filipiny;PH;144;0;0;0
MOSG;PSG w Gdañsku;Gruzja;GE;2;0;0;0
MOSG;PSG w Gdañsku;Indie;IN;53;0;0;0
MOSG;PSG w Gdañsku;Indonezja;ID;2;0;0;0
MOSG;PSG w Gdañsku;Irak;IQ;1;0;0;0
MOSG;PSG w Gdañsku;Jamajka;JM;1;0;0;0
MOSG;PSG w Gdañsku;Rosja;RU;231;0;0;0
MOSG;PSG w Gdañsku;Sri Lanka;LK;0;5;0;0
MOSG;PSG w Gdañsku;Syria;SY;0;5;0;0
MOSG;PSG w Gdañsku;Tunezja;TN;0;1;0;0
MOSG;PSG w Gdañsku;Turcja;TR;11;0;0;0
MOSG;PSG w Gdañsku;Ukraina;UA;5;0;0;0
MOSG;PSG w Gdañsku;Zambia;ZM;1;0;0;0
MOSG;PSG w Gdyni;Azerbejd¿an;AZ;1;0;0;0
MOSG;PSG w Gdyni;Egipt;EG;0;2;0;0
MOSG;PSG w Gdyni;Filipiny;PH;176;0;0;0
MOSG;PSG w Gdyni;Indie;IN;17;0;0;0
MOSG;PSG w Gdyni;Indonezja;ID;4;0;0;0
MOSG;PSG w Gdyni;Rosja;RU;106;0;0;0
MOSG;PSG w Gdyni;Turcja;TR;5;0;0;0
