SCHOOL CODE;SCHOOL NAME;GRADE ;PROGRAM TYPE;NUMBER OF STUDENTS   SEATS FILLED;NUMBER OF SECTIONS;AVERAGE CLASS SIZE;SIZE OF SMALLEST CLASS;SIZE OF LARGEST CLASS
M555;Central Park East High School;09-12;GEN ED;110;4;27.50;21;33
M555;Central Park East High School;09-12;GEN ED;83;3;27.70;22;34
M555;Central Park East High School;09-12;GEN ED;61;3;20.30;16;23
M555;Central Park East High School;09-12;GEN ED;23;2;11.50;11;12
M555;Central Park East High School;09-12;GEN ED;128;5;25.60;22;28
M555;Central Park East High School;09-12;GEN ED;136;5;27.20;13;33
M555;Central Park East High School;09-12;GEN ED;26;1;26.00;26;26
M555;Central Park East High School;09-12;GEN ED;173;8;21.60;15;27
M555;Central Park East High School;09-12;GEN ED;110;4;27.50;25;30
M555;Central Park East High School;09-12;GEN ED;149;6;24.80;11;31
M555;Central Park East High School;09-12;GEN ED;186;7;26.60;22;33
M555;Central Park East High School;09-12;GEN ED;30;1;30.00;30;30
M555;Central Park East High School;09-12;GEN ED;31;1;31.00;31;31
M555;Central Park East High School;09-12;GEN ED;50;2;25.00;25;25
M555;Central Park East High School;09-12;CTT;31;1;31.00;31;31
M555;Central Park East High School;09-12;CTT;21;1;21.00;21;21
M555;Central Park East High School;09-12;CTT;31;1;31.00;31;31
M555;Central Park East High School;09-12;CTT;23;1;23.00;23;23
M555;Central Park East High School;09-12;CTT;29;1;29.00;29;29
M555;Central Park East High School;09-12;CTT;57;2;28.50;27;30
M555;Central Park East High School;09-12;CTT;60;2;30.00;30;30
M555;Central Park East High School;09-12;CTT;90;3;30.00;29;32
M555;Central Park East High School;09-12;CTT;90;3;30.00;27;34
M555;Central Park East High School;09-12;CTT;63;2;31.50;29;34
M555;Central Park East High School;09-12;CTT;26;1;26.00;26;26
M555;Central Park East High School;09-12;CTT;49;2;24.50;22;27
M555;Central Park East High School;;;0;0;.00;0;0
